group;year;week;value
15to44;2023;14;-49
15to44;2023;15;-26
15to44;2023;16;-127
15to44;2023;17;-118
15to44;2023;18;-117
15to44;2023;19;-140
15to44;2023;20;-149
15to44;2023;21;-198
15to44;2023;22;-188
15to44;2023;23;-183
15to44;2023;24;-142
15to44;2023;25;-146
15to44;2023;26;-171
15to44;2023;27;-146
15to44;2023;28;-145
15to44;2023;29;-143
15to44;2023;30;-129
15to44;2023;31;-125
15to44;2023;32;-63
15to44;2023;33;-72
15to44;2023;34;-37
15to44;2023;35;-52
15to44;2023;36;-84
15to44;2023;37;-119
15to44;2023;38;-224
15to44;2023;39;-261
15to44;2023;40;421
15to44;2023;41;414
15to44;2023;42;343
15to44;2023;43;245
15to44;2023;44;172
15to44;2023;45;73
15to44;2023;46;-47
15to44;2023;47;-125
15to44;2023;48;-151
15to44;2023;49;-253
15to44;2017;0;0
15to44;2017;51;65
15to44;2017;52;175
15to44;2018;0;0
15to44;2018;1;169
15to44;2018;2;270
15to44;2018;3;309
15to44;2018;4;362
15to44;2018;5;370
15to44;2018;6;473
15to44;2018;7;550
15to44;2018;8;557
15to44;2018;9;649
15to44;2018;10;729
15to44;2018;11;783
15to44;2018;12;786
15to44;2018;13;832
15to44;2018;14;854
15to44;2018;15;877
15to44;2018;16;924
15to44;2018;17;879
15to44;2018;18;942
15to44;2018;19;971
15to44;2018;20;1021
15to44;2018;21;1022
15to44;2018;22;1029
15to44;2018;23;1053
15to44;2018;24;1040
15to44;2018;25;1001
15to44;2018;26;1048
15to44;2018;27;1086
15to44;2018;28;1184
15to44;2018;29;1228
15to44;2018;30;1273
15to44;2018;31;1382
15to44;2018;32;1440
15to44;2018;33;1454
15to44;2018;34;1456
15to44;2018;35;1482
15to44;2018;36;1496
15to44;2018;37;1486
15to44;2018;38;1477
15to44;2018;39;1476
15to44;2018;40;1472
15to44;2018;41;1611
15to44;2018;42;1585
15to44;2018;43;1555
15to44;2018;44;1551
15to44;2018;45;1537
15to44;2018;46;1492
15to44;2018;47;1429
15to44;2018;48;1416
15to44;2018;49;1412
15to44;2018;50;1429
15to44;2018;51;1459
15to44;2018;52;1487
15to44;2019;0;0
15to44;2019;1;117
15to44;2019;2;225
15to44;2019;3;314
15to44;2019;4;356
15to44;2019;5;402
15to44;2019;6;451
15to44;2019;7;503
15to44;2019;8;537
15to44;2019;9;472
15to44;2019;10;514
15to44;2019;11;472
15to44;2019;12;441
15to44;2019;13;374
15to44;2019;14;371
15to44;2019;15;380
15to44;2019;16;369
15to44;2019;17;309
15to44;2019;18;290
15to44;2019;19;246
15to44;2019;20;224
15to44;2019;21;204
15to44;2019;22;179
15to44;2019;23;173
15to44;2019;24;90
15to44;2019;25;113
15to44;2019;26;193
15to44;2019;27;258
15to44;2019;28;252
